epoch,lr-Adam,step,train_loss,val_loss
,0.0003579463603829391,0,,
0,,49,0.1712474673986435,
0,,99,0.14342516660690308,
0,,149,0.13008759915828705,
0,,199,0.13385330140590668,
0,,249,0.1160179004073143,
0,,299,0.10941416025161743,
0,,349,0.10532098263502121,
0,,399,0.10366301983594894,
0,,449,0.10890831053256989,
0,,499,0.10521607846021652,
0,,549,0.09854934364557266,
0,,599,0.11668243259191513,
0,,649,0.10182114690542221,
0,,699,0.10834751278162003,
0,,749,0.11254435777664185,
0,,799,0.10470063984394073,
0,,849,0.09073235094547272,
0,,899,0.10285329073667526,
0,,949,0.10763964802026749,
0,,999,0.09872537106275558,
0,,1049,0.09915772825479507,
0,,1099,0.09565964341163635,
0,,1149,0.11590154469013214,
0,,1199,0.0929763987660408,
0,,1249,0.09421154111623764,
0,,1299,0.09184833616018295,
0,,1349,0.09780314564704895,
0,,1399,0.09283312410116196,
0,,1449,0.09119734168052673,
0,,1499,0.09416430443525314,
0,,1549,0.09763148427009583,
0,,1599,0.08841314911842346,
0,,1649,0.09924022853374481,
0,,1699,0.10185569524765015,
0,,1749,0.09937077015638351,
0,,1799,0.09396272897720337,
0,,1849,0.08952046930789948,
0,,1899,0.0853370651602745,
0,,1949,0.0864279493689537,
0,,1999,0.08129099011421204,
0,,2019,,0.08640238642692566
,0.00035790820518958943,2020,,
1,,2049,0.08610880374908447,
1,,2099,0.08826889097690582,
1,,2149,0.0866018757224083,
1,,2199,0.08922464400529861,
1,,2249,0.08363349735736847,
1,,2299,0.0906328335404396,
1,,2349,0.0771041214466095,
1,,2399,0.08645212650299072,
1,,2449,0.08472937345504761,
1,,2499,0.08664252609014511,
1,,2549,0.07572432607412338,
1,,2599,0.08044689893722534,
1,,2649,0.0962865874171257,
1,,2699,0.07470627129077911,
1,,2749,0.08064650744199753,
1,,2799,0.08804433792829514,
1,,2849,0.08301012963056564,
1,,2899,0.08724462240934372,
1,,2949,0.08551514148712158,
1,,2999,0.08962853997945786,
1,,3049,0.08021821081638336,
1,,3099,0.08349201828241348,
1,,3149,0.08656992018222809,
1,,3199,0.08095788210630417,
1,,3249,0.084710992872715,
1,,3299,0.08719706535339355,
1,,3349,0.07778127491474152,
1,,3399,0.08191684633493423,
1,,3449,0.07670661062002182,
1,,3499,0.0807005986571312,
1,,3549,0.0767083689570427,
1,,3599,0.07882224768400192,
1,,3649,0.07776930183172226,
1,,3699,0.08654545992612839,
1,,3749,0.07783778011798859,
1,,3799,0.0792706236243248,
1,,3849,0.08052816987037659,
1,,3899,0.07832693308591843,
1,,3949,0.07502251863479614,
1,,3999,0.08575478196144104,
1,,4039,,0.08352036029100418
,0.0003577937563456693,4040,,
2,,4049,0.073288694024086,
2,,4099,0.08419308811426163,
2,,4149,0.08144469559192657,
2,,4199,0.07647707313299179,
2,,4249,0.07546255737543106,
2,,4299,0.07504693418741226,
2,,4349,0.08265478909015656,
2,,4399,0.07677492499351501,
2,,4449,0.0796317383646965,
2,,4499,0.07076838612556458,
2,,4549,0.08434177935123444,
2,,4599,0.0743119940161705,
2,,4649,0.07671403139829636,
2,,4699,0.07817945629358292,
2,,4749,0.08683611452579498,
2,,4799,0.08803291618824005,
2,,4849,0.07416459172964096,
2,,4899,0.09182828664779663,
2,,4949,0.0835966020822525,
2,,4999,0.06406325846910477,
2,,5049,0.08108025789260864,
2,,5099,0.07850134372711182,
2,,5149,0.07319821417331696,
2,,5199,0.07601484656333923,
2,,5249,0.08001334965229034,
2,,5299,0.06805870682001114,
2,,5349,0.08326076716184616,
2,,5399,0.08028695732355118,
2,,5449,0.08177727460861206,
2,,5499,0.06780759245157242,
2,,5549,0.07452251762151718,
2,,5599,0.08099060505628586,
2,,5649,0.07518462091684341,
2,,5699,0.07944539189338684,
2,,5749,0.07823818922042847,
2,,5799,0.06614865362644196,
2,,5849,0.07385903596878052,
2,,5899,0.07271381467580795,
2,,5949,0.07475107163190842,
2,,5999,0.08669648319482803,
2,,6049,0.07591518014669418,
2,,6059,,0.08287268131971359
,0.0003576030640522241,6060,,
3,,6099,0.09478376805782318,
3,,6149,0.07785167545080185,
3,,6199,0.07590331882238388,
3,,6249,0.07303488254547119,
3,,6299,0.07056905329227448,
3,,6349,0.08026996999979019,
3,,6399,0.07918845117092133,
3,,6449,0.07485164701938629,
3,,6499,0.08180803060531616,
3,,6549,0.0706285834312439,
3,,6599,0.07032078504562378,
3,,6649,0.0732264444231987,
3,,6699,0.07260191440582275,
3,,6749,0.0705636739730835,
3,,6799,0.0800834521651268,
3,,6849,0.06917471438646317,
3,,6899,0.0805962011218071,
3,,6949,0.07904910296201706,
3,,6999,0.07328750938177109,
3,,7049,0.07855363935232162,
3,,7099,0.07975833863019943,
3,,7149,0.07000913470983505,
3,,7199,0.07025212049484253,
3,,7249,0.08086513727903366,
3,,7299,0.07705908268690109,
3,,7349,0.07554041594266891,
3,,7399,0.07931043207645416,
3,,7449,0.07249119132757187,
3,,7499,0.07417988032102585,
3,,7549,0.07543952763080597,
3,,7599,0.07077101618051529,
3,,7649,0.0748843103647232,
3,,7699,0.07603388279676437,
3,,7749,0.07599055022001266,
3,,7799,0.07113869488239288,
3,,7849,0.07655689865350723,
