epoch,lr-Adam,step,train_loss,val_loss
,0.0009331961068147915,0,,
0,,49,0.013371407054364681,
0,,99,0.00979553535580635,
0,,105,,0.012840506620705128
,0.0009330948707337001,106,,
1,,149,0.008785242214798927,
1,,199,0.008153577335178852,
1,,211,,0.010972701013088226
,0.0009327912068959169,212,,
2,,249,0.007861167192459106,
2,,299,0.007702489383518696,
2,,317,,0.010042436420917511
,0.0009322852484984375,318,,
3,,349,0.013431156054139137,
3,,399,0.007577770855277777,
3,,423,,0.009867606684565544
,0.0009315772174713369,424,,
4,,449,0.007352760527282953,
4,,499,0.008566823787987232,
4,,529,,0.009709863923490047
,0.0009306674243804244,530,,
5,,549,0.00685255927965045,
5,,599,0.006779200863093138,
5,,635,,0.009792539291083813
,0.0009295562682910186,636,,
6,,649,0.006749732885509729,
6,,699,0.005984686315059662,
6,,741,,0.009706033393740654
,0.0009282442365929043,742,,
7,,749,0.012899897061288357,
7,,799,0.006870801094919443,
7,,847,,0.01039968989789486
,0.0009267319047865473,848,,
8,,849,0.005886770784854889,
8,,899,0.005782582797110081,
8,,949,0.006498084869235754,
8,,953,,0.009928659535944462
,0.000925019936230661,954,,
9,,999,0.005663725547492504,
9,,1049,0.014553971588611603,
9,,1059,,0.009914861992001534
,0.0009231090818512351,1060,,
10,,1099,0.00508554931730032,
10,,1149,0.005753317382186651,
10,,1165,,0.01069231890141964
,0.0009210001798121546,1166,,
11,,1199,0.00502737145870924,
11,,1249,0.0052170781418681145,
11,,1271,,0.01064659096300602
,0.0009186941551475538,1272,,
12,,1299,0.004739617463201284,
12,,1349,0.005606011487543583,
12,,1377,,0.01153604593127966
,0.0009161920193560656,1378,,
13,,1399,0.00449829688295722,
13,,1449,0.004939560778439045,
13,,1483,,0.012236688286066055
,0.0009134948699571441,1484,,
14,,1499,0.004262086004018784,
14,,1549,0.004466679412871599,
14,,1589,,0.012061642482876778
,0.0009106038900096578,1590,,
15,,1599,0.004798975307494402,
15,,1649,0.0039995997212827206,
15,,1695,,0.013184533454477787
,0.0009075203475929592,1696,,
16,,1699,0.004857038613408804,
16,,1749,0.0035384015645831823,
16,,1799,0.004586450289934874,
16,,1801,,0.013840004801750183
